rubro,proveedor,medio,provincia,localidad,total_general,canje,centr,descent
Radio AM,COM.EDITORIAL GRAFICA ARG.S.A.,AM 640 LU18 RADIO EL VALLE,Rio Negro,GENERAL ROCA,123226.40,,,123226.40
Radio FM,KEY MEDIOS GA S.R.L.,FM 105.1 RADIO CHAMICAL,La Rioja,CHAMICAL,123226.40,,,123226.40
Radio FM,KEY MEDIOS GA S.R.L.,FM 91.9 BLUE,La Rioja,LA RIOJA,123226.40,,,123226.40
Radio FM,CARRANZA WALTER JUAN,FM 97.5 ESTACION URBANA,Cordoba,RIO TERCERO,123198.00,,33225.00,89973.00
Radio FM,ASOC EMP DE COMERCIO CORDOBA,FM 103.5 CONTINENTAL,Cordoba,CORDOBA,123156.00,,29352.00,93804.00
Radio FM,CRACOGNA JOSE LUIS,FM 94.5 RADIO CUENCA CA乍RA,Santa Fe,VILLA OCAMPO,123040.00,,28760.00,94280.00
Radio FM,COOP. DE TRABAJO VIBRAS LTDA.,FM 88.1 BOEDO,Capital Federal,CAPITAL FEDERAL,122694.00,,,122694.00
Grafica,ARMALEO MIGUEL ANGEL,DIARIO LO NUESTRO,Buenos Aires,OLIVOS,122655.00,,33150.00,89505.00
Web,MALUSOVI PRODUCCIONES S.A.,WWW.VIAJANDOCONVOS.COM.AR,Capital Federal,CAPITAL FEDERAL,122613.35,,49045.34,73568.01
Radio FM,ASIS ANITA SANDRA,FM 97.7 LA SE丕L,Cordoba,CALAMUCHITA,122504.34,,,122504.34
Via Publica,SANTINI MONICA GRACIELA,SANTINI MONICA GRACIELA,Varias,Varias,122500.00,,,122500.00
Radio FM,KEY MEDIOS GA S.R.L.,FM 103.5 RADIO ARGENTINA,La Rioja,AIMOGASTA,122137.40,,,122137.40
Radio FM,DEL RIO CAPURRO FERNANDO EZEQ,FM 92.5 RADIO FIESTA,Buenos Aires,BRAGADO,121875.00,,,121875.00
Web,COOP.DE TRAB.EX TRAB.CRITICA,WWW.REVISTACITRICA.COM.AR,Capital Federal,CAPITAL FEDERAL,121800.00,,,121800.00
Radio FM,GUTIERREZ DANIEL ENRIQUE,FM 89.3 VIVA,Mendoza,GRAL. SAN MARTIN,121755.00,,42255.00,79500.00
